name,slug,authored_count,profile_url
Aisha Farouk,aisha-farouk,20,http://localhost:3000/writer/aisha-farouk
Alicia Gomez,alicia-gomez,10,http://localhost:3000/writer/alicia-gomez
Arjun Mehta,arjun-mehta,11,http://localhost:3000/writer/arjun-mehta
Carlos Mendes,carlos-mendes,10,http://localhost:3000/writer/carlos-mendes
David Okoro,david-okoro,10,http://localhost:3000/writer/david-okoro
Elena Petrov,elena-petrov,10,http://localhost:3000/writer/elena-petrov
Emma Williams,emma-williams,10,http://localhost:3000/writer/emma-williams
Linh Nguyen,linh-nguyen,9,http://localhost:3000/writer/linh-nguyen
Martin Kessler,martin-kessler,8,http://localhost:3000/writer/martin-kessler
Maya Whitfield,maya-whitfield,9,http://localhost:3000/writer/maya-whitfield
Michael Chen,michael-chen,10,http://localhost:3000/writer/michael-chen
Priya Raman,priya-raman,12,http://localhost:3000/writer/priya-raman
Raj Patel,raj-patel,12,http://localhost:3000/writer/raj-patel
Sarah Johnson,sarah-johnson,11,http://localhost:3000/writer/sarah-johnson
Sofia Alvarez,sofia-alvarez,9,http://localhost:3000/writer/sofia-alvarez
